Data,Nome,Tipo,Endereço,Contato,Rating,Reviews,Faixa Preço,Status,Última Mensagem,Próxima Ação,Notas
2026-05-11,Joaquin's Food Park,Food Truck,Av. Joaquim Pompeu de Toledo 871,(18) 99706-6040,4.6,843,20-40,Warm,(18) 99706-6040,Enviar mensagem WhatsApp,Fast Food - Ambiente familiar
2026-05-11,Araçá Food Park,Food Truck,Av. Gov. Mário Covas 3796,(18) 99672-7235,4.6,770,20-100,Warm,(18) 99672-7235,Enviar mensagem WhatsApp,Fast Food - Ambiente familiar
2026-05-11,Motor Food Truck - Lanchonete,Food Truck,Av. Umuarama 2021,(18) 99132-3486,5.0,17,20-40,Warm,(18) 99132-3486,Enviar mensagem WhatsApp,Sanduíche
2026-05-11,Brothers Street Food - Hamburgeria,Lanchonete,R. Carlos Gomes 555,(18) 99765-3835,4.8,705,40-60,Message Sent,2026-05-11 14:45,Aguardar resposta (24-48h),Mensagem FASE 2 enviada - Em acompanhamento
2026-05-11,Onion Chips Araçatuba,Lanchonete,Av. Joaquim Pompeu de Toledo 871,WhatsApp,3.8,15,20-40,Cold,,Pesquisar WhatsApp,Restaurante
2026-05-11,Texs Food - Loja Ipanema,Lanchonete,Av. Prestes Maia 1930,(18) 98132-8747,4.7,206,20-40,Warm,(18) 98132-8747,Enviar mensagem WhatsApp,Hambúrguer
2026-05-11,Mestre dos Trailers e Insumos,Fabricante,Av. Odorindo Perenha 581,WhatsApp,5.0,17,50-100,Cold,,Pesquisar WhatsApp,Fabricante de trailers
2026-05-11,Pastel de Itu,Lanchonete,R. Paul Harris 374,WhatsApp,4.5,25,20-40,Cold,,Pesquisar WhatsApp,Fast Food - Pastéis
2026-05-11,Pastel do Balaio,Lanchonete,R. Fernando Costa 394,WhatsApp,4.6,525,20-40,Cold,,Pesquisar WhatsApp,Pastéis - Qualidade reconhecida
2026-05-11,Pastel da Praça,Lanchonete,R. Saldanha Marinho 1468,WhatsApp,4.6,562,20-40,Cold,,Pesquisar WhatsApp,Lanchonete - Ambiente descontraído
2026-05-11,Algo Mais Salgaderia,Lanchonete,R. Brasil 461,WhatsApp,4.7,136,20-40,Cold,,Pesquisar WhatsApp,Fast Food - Salgados especializados
2026-05-11,Delícias Da Vovó salgados,Lanchonete,R. do Fico 687,WhatsApp,4.5,258,20-40,Cold,,Pesquisar WhatsApp,Fast Food - Salgados variados
2026-05-11,Zé Colmeia Salgados,Restaurante,R. Mal. Deodoro 802,WhatsApp,4.6,338,20-40,Cold,,Pesquisar WhatsApp,Restaurante - Salgados com coxinha
2026-05-11,Total Açai Pompeu,Açaí,Av. Joaquim Pompeu de Toledo 1159,WhatsApp,4.6,785,20-40,Cold,,Pesquisar WhatsApp,Loja de açai
2026-05-11,The Best Açai - Araçatuba,Açaí,R. Fernando Costa 258,WhatsApp,4.6,275,20-40,Cold,,Pesquisar WhatsApp,Loja de açai - Foco qualidade
2026-05-11,GUIMA Pizzaria,Pizzaria,Rua Cristiano Olsen 1375,(18) 99665-8669,4.8,104,40-100,Warm,(18) 99665-8669,Enviar mensagem WhatsApp,Pizzaria - Delivery disponível
2026-05-11,Donna Oliva Pizzaria,Pizzaria,Av. da Saudade 1225,(18) 3621-4881,4.8,1775,40-100,Warm,(18) 3621-4881,Enviar mensagem WhatsApp,Pizzaria - Especialista em pizza
